Crop,Dataset Name,Source,Location,Image Count,Classes/Diseases,Size,Status,Relevance,Source URL
Wheat,Wheat Nitrogen Deficiency & Leaf Rust,Kaggle / Mendeley,IARI India,1459,"Nitrogen Deficiency; Leaf Rust; Healthy/Control",Small,Downloaded,"Disease + nutrient deficiency; highly relevant to Smart Farming",https://www.kaggle.com/datasets/jocelyndumlao/wheat-nitrogen-deficiency-and-leaf-rust-image
Wheat,Wheat Plant Diseases,Kaggle,India,14155,"Multiple wheat diseases; Healthy",6.59 GB,Downloaded,"Broad wheat disease coverage",https://www.kaggle.com/datasets/kushagra3204/wheat-plant-diseases
Wheat,WheatRust21,ResearchGate / ICAR-IARI,India - New Delhi & Madhya Pradesh,6556,"Healthy; Yellow Rust; Brown Rust; Stem Rust",Not specified,Shortlisted,"Real-field Indian wheat rust dataset",https://www.researchgate.net/publication/377473061_Population_Diversity_Pathogenomics_and_Development_of_Diagnostics_of_Emerging_Fungal_Plant_Pathogens-_A_Training_Manual
Wheat,NUST Wheat Rust Disease Dataset,Zenodo,Pakistan,100,"Healthy; Stripe Rust; Segmentation Masks",Small,Shortlisted,"Specialized field dataset with pixel-level rust masks",https://zenodo.org/records/21672928
Rice,Paddy Doctor - Kaggle Subset,Kaggle,Tamil Nadu India,13876,"10 disease classes; Healthy; metadata",1.09 GB,Downloaded,"Real-field paddy images with variety and crop-age metadata",https://www.kaggle.com/datasets/ricardosalvatorelli1/paddydoctor
Rice,Paddy Doctor - Full Dataset,Official Paddy Doctor,Tirunelveli Tamil Nadu India,16225,"12 diseases/pests + Normal; RGB + IR",Not specified,Reference,"Full cleaned dataset; agricultural officer annotations",https://paddydoc.github.io/dataset/
Rice,Indian Rice Disease Dataset (IRDD),IEEE DataPort,West Bengal India,Not specified,"Brown Spot; Healthy",24 MB sample,Shortlisted,"Indian field rice disease dataset",https://doi.org/10.21227/4rmf-gd63
Pearl Millet,Pearl Millet Blast & Rust,Kaggle / Research Paper,ICAR-AICRP Mysore India,3300,"Blast: 1964; Rust: 1336",Not specified,Downloaded,"Dedicated Indian pearl millet field dataset",https://www.kaggle.com/kalpitgupta/blast-and-rust-compressed
Maize,ICAR Crop Disease & Insect-Pest Image Dataset,AI-Kosh / ICAR,India,Not specified,"Maydis Leaf Blight; Turcicum Leaf Blight; Curvularia Leaf Spot; Sorghum Downy Mildew; Fall Armyworm; Aphid; Healthy",925.91 MB,Pending Download,"Indian disease + pest dataset",https://aikosh.indiaai.gov.in/home/datasets/details/crop_disease_and_insect_pest_image_dataset_for_rice_and_maize.html
Soybean,SoyNet,Mendeley,Jabalpur Madhya Pradesh India,9000+,"Healthy; Diseased",8.48 GB,Skipped,"Strong Indian field dataset but too large",https://data.mendeley.com/datasets/w2r855hpx8/2
Soybean,An India Soyabean Leaf Dataset,Mendeley,Maharashtra India,3363,"Healthy; Vein Necrosis; Dry Leaf; Septoria Brown Spot; Root Images; Bacterial Leaf Blight",7.51 GB,Skipped,"Indian field dataset but very large download package",https://data.mendeley.com/datasets/bshkvgbzpt/1
Chickpea,Chickpea Fusarium Wilt Dataset,Kaggle,Turkey,4339,"Fusarium Wilt; 5 severity levels",7.11 GB,Skipped,"Useful disease dataset but too large",https://www.kaggle.com/datasets/tolgahayit/fusarium-wilt-disease-in-chickpea-dataset
Chickpea,Chickpea Disease Dataset,Research Paper,Ethiopia,1399,"Healthy; Ascochyta Blight; Fusarium Wilt",Not specified,Shortlisted,"Small non-Indian field dataset; direct download source not established",Not established
Multi-crop,New Plant Diseases Dataset (Augmented),Kaggle,Multiple regions,87000+,"38 plant disease classes",1.43 GB,Existing Team Dataset,"Existing PlantCareAI dataset; broad multi-crop disease coverage",https://www.kaggle.com/datasets/vipoooool/new-plant-diseases-dataset
Multi-crop,Crops Disease Dataset,Kaggle,India / Multiple,Not specified,"Wheat; Rice; Maize; Potato disease classes",2.15 GB,Shortlisted,"General multi-crop supplementary dataset",https://www.kaggle.com/datasets/vishesh2395/crops-disease-dataset
